ticker,slug,week_monday,week_friday,week_sunday
NVDA,nvda-above-on-january-16-2026,2026-01-12,2026-01-16,2026-01-18
AAPL,aapl-above-on-january-16-2026,2026-01-12,2026-01-16,2026-01-18
GOOGL,googl-above-on-january-16-2026,2026-01-12,2026-01-16,2026-01-18
MSFT,msft-above-on-january-16-2026,2026-01-12,2026-01-16,2026-01-18
META,meta-above-on-january-16-2026,2026-01-12,2026-01-16,2026-01-18
AMZN,amzn-above-on-january-16-2026,2026-01-12,2026-01-16,2026-01-18
TSLA,tsla-above-on-january-16-2026,2026-01-12,2026-01-16,2026-01-18
PLTR,pltr-above-on-january-16-2026,2026-01-12,2026-01-16,2026-01-18
OPEN,open-above-on-january-16-2026,2026-01-12,2026-01-16,2026-01-18
NFLX,nflx-above-on-january-16-2026,2026-01-12,2026-01-16,2026-01-18
